id,telegram_id,symbol,status,old_pnl_usdt,new_pnl_usdt,delta,db_order_id,open_order_id,close_order_id,opened_at,closed_at
784,7989568931,AVAXUSDT,closed_sl,-31.08,-1.251744,29.828256,2044069485828943872,2044069485828943872,1816910873210065835,2026-04-14T15:05:18.180189+00:00,2026-04-15T01:36:29.395037+00:00
787,6954315669,ADAUSDT,closed_sl,-11.8508,-0.22210074000000002,11.62869926,2044070970679721984,2044070970679721984,6986671437895243884,2026-04-14T15:11:12.1686+00:00,2026-04-15T01:36:31.188319+00:00
789,1973887645,SOLUSDT,closed_sl,-10.53,-0.1351838,10.3948162,2044074250197610496,2044074250197610496,7694474785277342130,2026-04-14T15:24:14.335331+00:00,2026-04-15T01:36:32.521075+00:00
791,1973887645,ATOMUSDT,closed_sl,-4.6672,-0.146329502,4.520870498,2044074526254166016,2044074526254166016,8225954321305434754,2026-04-14T15:25:19.909079+00:00,2026-04-15T01:36:32.885084+00:00
792,1973887645,XRPUSDT,closed_sl,-4.6494,-0.13160748,4.51779252,2044075001426784256,2044075001426784256,1248839411718016214,2026-04-14T15:27:13.152689+00:00,2026-04-15T01:36:33.239109+00:00
793,1973887645,ADAUSDT,closed_sl,-3.496,-0.13545712,3.36054288,2044075234080706560,2044075234080706560,1342507763500038716,2026-04-14T15:28:08.595314+00:00,2026-04-15T01:36:33.60337+00:00
799,8429733088,BNBUSDT,sideways_max_hold_exceeded,-0.79140544,-0.02946132,0.76194412,2044116627553587200,2044116627553587200,2044117283962142720,2026-04-14T18:12:39.98489+00:00,2026-04-14T18:15:13.44903+00:00
795,1973887645,BNBUSDT,sideways_max_hold_exceeded,-0.40729633,-0.00982044,0.39747589,2044116614987522048,2044116614987522048,2044117284964642816,2026-04-14T18:12:34.867154+00:00,2026-04-14T18:15:14.074806+00:00
798,2107355248,BNBUSDT,sideways_max_hold_exceeded,-0.38889244,0.00656706,0.3954595,2044116621463535616,2044116621463535616,2044117292082315264,2026-04-14T18:12:35.718923+00:00,2026-04-14T18:15:15.508493+00:00
801,282898946,BNBUSDT,sideways_max_hold_exceeded,-0.28633037,0.001379560000000001,0.28770993,2044116647459831808,2044116647459831808,2044117295941173248,2026-04-14T18:12:41.366073+00:00,2026-04-14T18:15:16.466628+00:00
800,312485564,BNBUSDT,sideways_max_hold_exceeded,-1.18245154,-0.03928176,1.14316978,2044116642275594240,2044116642275594240,2044117292677898240,2026-04-14T18:12:40.585003+00:00,2026-04-14T18:15:15.721998+00:00
794,7582955848,BNBUSDT,sideways_max_hold_exceeded,-0.34097552,0.005112893333333301,0.3460884133333333,2044116608444416000,2044116608444416000,2044117284138295296,2026-04-14T18:12:33.253861+00:00,2026-04-14T18:15:13.701021+00:00
797,1969755249,BNBUSDT,sideways_max_hold_exceeded,-0.58718454,-0.01964088,0.56754366,2044116621434097664,2044116621434097664,2044117285891584000,2026-04-14T18:12:35.559711+00:00,2026-04-14T18:15:14.256334+00:00
668,312485564,ETHUSDT,closed_sl,-57.7935,-2.4593768333333332,55.33412316666667,2043882291155730432,2043882291155730432,4603486545353779175,2026-04-14T02:41:26.560981+00:00,2026-04-14T18:43:20.763039+00:00
650,1969755249,DOTUSDT,closed_sl,-47.9205,-0.80541628,47.115083719999994,2043796722723627008,2043796722723627008,2679719659840399418,2026-04-13T21:01:25.54058+00:00,2026-04-14T18:43:44.890321+00:00
785,8429733088,UNIUSDT,closed_sl,-112.5604,-1.081839,111.478561,2044070355396333568,2044070355396333568,3804394702438476410,2026-04-14T15:08:45.565615+00:00,2026-04-14T18:43:51.928885+00:00
803,312485564,BNBUSDT,sideways_max_hold_exceeded,1.06515702,-0.032868800000000004,-1.09802582,2044143521351188480,2044143521351188480,2044144212945752064,2026-04-14T19:59:28.59967+00:00,2026-04-14T20:02:15.250646+00:00
802,2107355248,BNBUSDT,sideways_max_hold_exceeded,0.34204134,-0.0296378904347826,-0.3716792304347826,2044143516573818880,2044143516573818880,2044144214657019904,2026-04-14T19:59:27.994158+00:00,2026-04-14T20:02:15.610303+00:00
649,1969755249,AVAXUSDT,closed_sl,-21.17745,-0.6816582,20.4957918,2043796274574913536,2043796274574913536,1883577257253983187,2026-04-13T20:59:38.595642+00:00,2026-04-14T23:56:10.263849+00:00
745,282898946,DOGEUSDT,closed_sl,-0.742,-0.09393931999999999,0.64806068,2044017914378297344,2044017914378297344,8225435510812804855,2026-04-14T11:40:23.628981+00:00,2026-04-15T01:36:11.040253+00:00
766,7582955848,ATOMUSDT,closed_sl,-41.5107,-1.189947872,40.320752128,2044024209244205056,2044024209244205056,1715494885741271655,2026-04-14T12:05:24.135918+00:00,2026-04-15T01:36:13.719868+00:00
783,1187119989,AVAXUSDT,closed_sl,-4.509,-0.1241738,4.3848262,2044069293180354560,2044069293180354560,4647096653376622802,2026-04-14T15:04:32.225332+00:00,2026-04-15T01:36:17.560476+00:00
755,6954315669,DOGEUSDT,closed_sl,-9.085,-0.287897172,8.797102828000002,2044023362263302144,2044023362263302144,5566221956838211767,2026-04-14T12:02:03.029215+00:00,2026-04-15T01:36:30.799165+00:00
739,7989568931,BNBUSDT,closed_sl,-0.378,-0.05076896,0.32723104000000003,2044017620445630464,2044017620445630464,6945821521645826595,2026-04-14T11:39:12.943305+00:00,2026-04-15T08:46:42.96169+00:00
742,7675185179,BNBUSDT,closed_sl,-1.5,-0.0619331266666666,1.4380668733333335,2044017655560388608,2044017655560388608,5140096158351347315,2026-04-14T11:39:20.858753+00:00,2026-04-15T08:47:57.342409+00:00
